Modelo,GIADA09,GIADA12,GIADA18,GIADA24,,,,,,,,,
Potencia calefaccion kW,2.93,3.57,4.97,6.00,,,,,,,,,
SCOP,4,4,4,4,,,,,,,,,
Potencia frigorifica kW,2.77,3.35,5.27,5.86,,,,,,,,,
Potencia de compresor kW,0.77,1.02,1.55,1.78,,,,,,,,,
Prestación energetica,A+++,A+++,A+++,A+++,,,,,,,,,
SEER,6.3,6.1,7.4,6.1,,,,,,,,,
Potencia electrica nominal kW,0.77,1.02,1.55,1.78,,,,,,,,,
Tipo de maquina,Split,Split,Split,Split,,,,,,,,,
Ficha tecnica,FRL_1,FRL_1,FRL_1,FRL_1,,,,,,,,,
COP,3.99,3.71,3.83,3.73,,,,,,,,,
EER,3.60,3.28,3.40,3.28,,,,,,,,,
Declaracion conformidad,DC_FRL_1,DC_FRL_1,DC_FRL_1,DC_FRL_1,,,,,,,,,
Tuberia gas,3/8,3/8,1/2,5/8,,,,,,,,,
Tuberia liquido,1/4,1/4,1/4,3/8,,,,,,,,,
Carga de refrigerante Kg,0.55,0.55,1.08,1.42,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
