Modelo,CL3000i SET 35,CL5000M 41/2 E,CL5000M 53/2 ,CL5000M 62/3 ,CL5000M 79/3,CL5000M 82/4,CL5000M 105/4 E,CL5000M 125/5 E,,,,,,
Potencia calefaccion kW,3.8,4.4,5.6,6.5,8.2,8.8,10.6,12.3,,,,,,
SCOP,4.2,4,4,4,4,4,4,4,,,,,,
Potencia frigorifica kW,3.8,4.1,5.3,6.2,7.9,8.2,10.6,12.3,,,,,,
Potencia de compresor kW,,,,,,,,,,,,,
Prestacion energetica,A+++,A++,A++,A++,A++,A++,A++,A++,,,,,,
SEER,7,6.8,6.1,6.5,6.1,7,6.5,6.5,,,,,,
Potencia electrica nominal kW,1.09,0.93,1.26,1.44,1.88,1.86,2.52,2.93,,,,,,
Tipo de maquina,Split-pared,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,,,,,,
Ficha tecnica,BSH_2,BSH_1,BSH_1,BSH_1,BSH_1,BSH_1,BSH_1,BSH_1,,,,,,
COP,4,4,4,4,4,4,4,4,,,,,,
EER,4.4,4.4,4.2,4.3,4.2,4.4,4.2,4.2,,,,,,
Declaracion conformidad,DCBSH_1,DCBSH_1,DCBSH_1,DCBSH_1,DCBSH_1,DCBSH_1,DCBSH_1,DCBSH_1,,,,,,
Tuberia gas,3/8,3/8,3/8,3/8,3/8,3/8,3/8,3/8,,,,,,
Tuberia liquido,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,,,,,,
Carga de refrigerante Kg,0.65,1.03,1.48,1.80,1.81,2.41,2.74,2.95,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
