Modelo,UM CDT 12,UM CDT 18,UM CDT 24,UM CDT 30,UM CDT 36,UM CDT 42,UM CDT 48,,,,,,
Potencia calefaccion kW,4.0,5.6,8.0,8.8,11.5,13.5,15.5,,,,,,
SCOP,4,4,4.1,4.1,4.2,4.1,4.1,,,,,,
Potencia frigorifica kW,3.5,5.3,7.1,8.5,10.5,12.1,13.4,,,,,,
Potencia de compresor kW,,,,,,,,,,,,,
Prestacion energetica,A++,A++,A++,A++,A++,A++,A++,,,,,,
SEER,6.5,6.3,6.6,6.4,6.4,6.1,6.1,,,,,,
Potencia electrica nominal kW,1.03,1.51,1.92,2.50,3.00,3.58,4.50,,,,,,
Tipo de maquina,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,,,,,,
Ficha tecnica,GR_1,GR_1,GR_1,GR_1,GR_1,GR_1,GR_1,,,,,,
COP,3.9,3.7,4.2,3.5,3.8,3.8,3.4,,,,,,
EER,3.4,3.5,3.7,3.4,3.5,3.4,3.0,,,,,,
Declaracion conformidad,DCGR_1,DCGR_1,DCGR_1,DCGR_1,DCGR_1,DCGR_1,DCGR_1,,,,,,
Tuberia gas,3/8,1/2,5/8,5/8,5/8,5/8,5/8,,,,,,
Tuberia liquido,1/4,1/4,3/8,3/8,3/8,3/8,3/8,,,,,,
Carga de refrigerante Kg,0.57,0.85,1.50,1.50,2.10,2.25,2.80,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
