Modelo,S026IX69,S035IX69,,,,,,,,,,,
Potencia calefaccion kW,2.6,3.5,,,,,,,,,,,
SCOP,4,4,,,,,,,,,,,
Potencia frigorifica kW,2.7,3.5,,,,,,,,,,,
Potencia de compresor kW,,,,,,,,,,,,,
Prestacion energetica,A++,A++,,,,,,,,,,,
SEER,6.1,6.1,,,,,,,,,,,
Potencia electrica nominal kW,1.1,1.1,,,,,,,,,,,
Tipo de maquina,Split,Split,,,,,,,,,,,
Ficha tecnica,SEIC_1,SEIC_1,,,,,,,,,,,
COP,4.14,3.18,,,,,,,,,,,
EER,2.45,2.96,,,,,,,,,,,
Declaracion conformidad,HTW_1,HTW_1,,,,,,,,,,,
Tuberia gas,3/8,3/8,,,,,,,,,,,
Tuberia liquido,1/4,1/4,,,,,,,,,,,
Carga de refrigerante Kg,0.51,0.55,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
