Modelo,WD25T,WD35T,WD50T,WD71T,WD2U40-WD25-WD3535,,,,,,,,,
Potencia calefaccion kW,2.1,2.6,3.3,4.6,3.3,,,,,,,,,
SCOP,4,4,4,4,4,,,,,,,,,
Potencia frigorifica kW,2.5,3.2,4.6,6.2,4.0,,,,,,,,,
Potencia de compresor kW,,,,,,,,,,,,,,
Prestacion energetica,A++,A++,A++,A++,A++,,,,,,,,,
SEER,6.1,6.1,6.3,6.7,6.2,,,,,,,,,
Potencia electrica nominal kW,0.86,1.14,1.54,2.23,1.54,,,,,,,,,
Tipo de maquina,Split,Split,Split,Split,Multi-split,,,,,,,,,
Ficha tecnica,WD_1,WD_1,WD_1,WD_1,WD_1,,,,,,,,,
COP,3.76,3.55,3.6,3.09,3.6,,,,,,,,,
EER,3.02,2.88,3.1,3.05,3.1,,,,,,,,,
Declaracion conformidad,DCWD_1,DCWD_1,DCWD_1,DCWD_1,,,,,,,,,,
Tuberia gas,3/8,3/8,1/2,3/8,1/2,,,,,,,,,
Tuberia liquido,1/4,1/4,1/4,1/4,1/4,,,,,,,,,
Carga de refrigerante Kg,0.48,0.64,1.17,1.44,1.17,,,,,,,,,
